Identifier,Latitude,Longitude
CTR41,S015.22.54.998,E034.44.32.999
CTR42,S015.44.35.998,E035.14.35.998
CTR43,S015.55.09.998,E034.40.59.998
CTV30,S033.35.35.350,E019.00.03.099
CTV40,S034.02.25.191,E019.24.08.730
CV,S015.10.00.001,E019.08.59.999
D019L,S015.03.20.908,E012.12.03.211
D020N,S033.44.19.870,E018.34.33.650
D034A,S026.05.12.580,E028.15.10.591
D034L,S015.04.17.619,E012.15.08.488
D036J,S029.15.27.810,E027.36.55.018
D036L,S029.18.21.448,E027.35.55.579
D045L,S026.31.07.021,E028.22.47.100
D050N,S022.17.34.011,E017.37.31.731
D052L,S033.47.22.351,E018.42.36.889
D052N,S033.45.39.639,E018.43.36.710
D059K,S026.01.08.389,E028.21.55.778
D060T,S029.20.34.670,E031.21.09.230
D062O,S025.58.32.789,E028.25.22.198
D065H,S033.52.09.451,E018.42.39.308
D065K,S033.49.53.738,E018.45.01.641
D066C,S029.34.23.991,E031.09.44.449
D067C,S025.54.57.038,E027.57.16.268
D074L,S015.10.07.129,E012.21.08.730
D076J,S015.11.17.361,E012.19.25.140
D076N,S022.22.31.400,E017.41.50.089
D081L,S015.16.50.350,E028.36.53.791
D083Q,S022.53.04.588,E014.55.58.468
D088O,S026.04.11.420,E028.29.28.910
D100B,S015.20.28.320,E028.34.22.018
D100D,S015.20.34.609,E028.35.36.250
D100G,S015.20.17.980,E028.32.34.558
D101D,S017.49.29.931,E025.52.16.129
D101F,S017.49.36.609,E025.53.56.518
D104G,S025.38.51.871,E028.20.53.271
D112O,S029.05.57.739,E026.35.15.021
D120H,S033.59.02.781,E018.45.51.829
D120I,S033.59.09.279,E018.47.03.559
D128L,S015.21.03.279,E012.20.45.700
D145L,S015.23.52.951,E012.18.31.719
D180J,S015.25.08.108,E012.11.31.160
D186L,S026.20.54.549,E028.16.33.578
D187C,S018.04.33.758,E030.59.24.831
D190T,S034.17.26.188,E018.42.57.391
D234R,S025.38.27.758,E030.54.44.550
D236C,S029.39.14.860,E031.05.42.619
D242T,S029.52.29.229,E030.53.22.099
D244J,S015.20.58.441,E012.01.25.348
D247L,S024.40.38.211,E025.45.03.668
D247P,S026.06.16.830,E027.43.37.019
D247T,S026.09.23.878,E027.39.50.950
D253W,S026.02.38.050,E028.50.31.999
D256J,S015.19.08.230,E012.00.22.499
D256L,S024.39.04.708,E025.43.53.551
D261H,S023.53.46.669,E029.19.43.330
D268J,S015.17.07.738,E011.59.44.649
D269L,S024.36.34.650,E025.42.42.451
D269Q,S023.03.02.181,E014.20.47.371
D275H,S034.00.47.998,E018.27.12.718
D280B,S015.19.12.979,E028.19.53.518
D280C,S015.19.06.668,E028.18.39.301
D280D,S015.19.18.721,E028.20.55.629
D280E,S015.19.25.039,E028.22.09.839
D281D,S017.48.56.750,E025.44.00.499
D281F,S017.48.46.180,E025.41.23.661
D291E,S015.38.51.219,E034.49.32.530
D354H,S033.51.22.910,E018.31.12.748
DABUR,S026.19.59.998,E005.00.00.000
DANAM,S021.38.59.999,E028.25.47.999
DIMIX,S017.46.59.998,E010.30.00.000
DINKM,S022.26.39.901,E017.49.33.711
DODOS,S025.30.32.169,E030.34.37.621
DUDMO,S021.20.31.700,E027.35.03.501
DUDMO,S028.29.26.818,E017.55.51.819
DUDRA,S019.58.41.901,E023.40.25.399
DUDRO,S024.13.19.999,E034.55.32.998
DUDRU,S028.23.34.440,E016.32.32.560
DUDVU,S031.23.52.270,E027.51.36.500
DUGLU,S033.47.58.448,E018.21.52.099
DUGNU,S020.06.28.828,E013.41.34.350
DUGPA,S026.13.29.038,E022.25.34.831
DUGSO,S028.55.03.460,E026.11.22.919
DUKMU,S030.22.48.579,E030.45.00.428
DUKRA,S026.20.24.428,E030.47.11.569
DUKVO,S034.07.20.161,E024.40.33.031
DULGO,S025.00.00.000,E013.59.08.001
DULPU,S025.57.23.709,E031.13.25.258
DULRI,S031.04.59.019,E028.56.39.080
DULTO,S024.37.49.800,E025.12.45.399
DUMGO,S024.05.10.309,E029.01.50.638
DUMLU,S031.35.31.880,E028.22.00.638
DUMPO,S018.42.47.880,E021.00.00.000
DUNBA,S022.37.39.320,E017.28.03.151
DUNLO,S022.01.11.999,E019.02.30.001
